Country,Year,Region,GDP_per_capita,Education_Expenditure,Primary_Enrollment,Secondary_Enrollment,Tertiary_Enrollment,Literacy_Rate,Avg_Years_Schooling,Internet_Access,Pupil_Teacher_Ratio,Gender_Parity_Index,Unemployment_Rate,Government_Policy_Score,GDP_per_capita_log,Cluster
South Africa,2018,Africa,13398.44,5.97,91.8,69.1,33.5,93.5,12.1,30.6,24.8,1.01,6.5,3.6,9.502893561251463,2
Australia,2020,Oceania,13730.27,4.32,93.3,73.3,51.1,88.1,11.4,31.4,18.2,0.95,8.7,6.5,9.527358163535888,0
Germany,2019,Europe,21121.97,6.91,96.1,74.7,31.1,67.6,7.0,27.6,17.3,0.96,12.2,6.2,9.958069009985365,1
Australia,2015,Oceania,16221.83,3.37,94.3,52.9,44.6,80.9,7.1,56.6,23.3,1.08,12.4,5.8,9.694113144979768,1
Kenya,2015,Africa,-5127.65,5.02,99.9,79.9,37.0,92.3,8.8,61.3,21.4,0.8,5.0,3.5,,0
India,2019,South Asia,3875.38,2.39,95.5,80.4,17.9,74.2,10.3,79.9,22.0,1.1,6.4,7.6,8.262399001495567,1
China,2019,East Asia,12336.18,5.03,89.3,89.2,60.7,86.8,12.8,69.3,19.5,0.95,12.6,5.7,9.420291687136345,0
Mexico,2018,North America,14933.5,5.89,96.9,72.0,49.1,69.2,9.3,60.6,19.3,1.08,4.5,5.8,9.611362290386973,1
India,2015,South Asia,35070.89,5.58,100.0,73.9,55.8,69.2,11.7,55.1,16.6,0.93,6.8,8.0,10.46512672062801,1
Indonesia,2017,Southeast Asia,5211.74,6.75,90.0,71.5,26.7,85.4,8.2,48.4,13.9,1.01,3.0,5.4,8.5586690521194,0
United States,2016,North America,7008.1,2.89,91.3,66.4,41.6,79.4,12.1,46.3,19.1,0.95,6.6,5.9,8.854821901920813,1
Germany,2018,Europe,14598.08,5.46,95.3,77.5,52.9,82.0,12.1,63.3,10.0,1.02,11.2,7.2,9.58864529219933,1
Mexico,2024,North America,14073.22,3.69,100.0,75.8,17.4,86.2,7.8,13.0,20.1,1.01,6.0,5.3,9.552028979646352,2
Russia,2019,Europe,16092.61,3.48,89.4,62.1,29.1,87.6,5.0,69.8,18.5,0.94,11.4,8.3,9.686115439385777,1
Nigeria,2015,Africa,8268.73,2.95,100.0,64.7,30.4,87.4,5.3,64.9,15.8,0.95,3.4,8.1,9.020236209115065,2
Argentina,2022,South America,12198.1,4.51,100.0,84.6,35.8,77.8,8.0,68.7,15.3,0.81,4.7,6.8,9.409035480888054,1
Germany,2017,Europe,10005.86,6.05,91.7,73.1,23.5,83.6,7.2,86.0,24.9,0.87,10.1,8.8,9.21092620034523,1
South Africa,2016,Africa,8615.81,6.31,95.5,81.4,42.3,75.7,11.2,67.3,14.7,0.84,7.8,5.7,9.06135416659679,1
France,2021,Europe,5003.39,6.33,97.3,79.6,37.3,72.7,7.4,84.5,21.1,0.89,6.7,7.0,8.517870961678073,1
United States,2015,North America,10782.83,4.81,100.0,92.5,8.0,94.1,10.5,66.5,15.6,1.04,5.4,6.9,9.2857103332009,2
Indonesia,2021,Southeast Asia,18632.62,6.4,99.0,55.9,35.7,98.2,6.5,57.6,21.7,0.8,8.0,4.8,9.832669087094697,2
Mexico,2021,North America,16335.64,4.84,93.7,74.9,19.3,83.8,8.4,67.5,20.2,0.89,4.6,4.4,9.70110450294321,2
Brazil,2015,South America,14369.84,4.69,94.5,76.3,26.7,76.9,6.8,52.6,16.9,1.2,13.1,7.0,9.572886844703499,1
Argentina,2015,South America,7788.95,4.37,96.3,53.1,34.6,71.7,8.8,42.9,19.5,0.96,7.6,7.5,8.960461341590062,1
Germany,2019,Europe,19485.47,7.28,92.7,89.0,19.8,67.4,10.6,90.1,15.9,1.05,4.6,8.2,9.87742433860071,1
Kenya,2022,Africa,12389.09,5.04,89.3,79.0,9.8,85.0,7.9,62.0,20.2,1.01,2.4,3.6,9.424571525598191,2
South Africa,2019,Africa,18234.27,5.76,96.5,59.6,39.6,88.6,8.6,36.4,16.7,1.1,9.3,8.0,9.811058069537687,2
United States,2019,North America,19558.84,3.12,86.6,74.3,49.5,95.1,7.4,66.6,16.4,0.97,3.2,7.4,9.881182637126738,2
South Africa,2018,Africa,8044.54,2.72,93.4,59.5,9.6,71.9,9.5,49.7,20.2,0.95,9.3,5.3,8.992748879420079,1
Mexico,2015,North America,23758.3,3.78,97.9,74.3,16.5,100.0,13.0,58.5,18.9,1.09,6.9,7.4,10.075687222095294,2
Canada,2024,North America,16975.32,4.75,91.7,68.9,50.8,99.5,9.8,85.5,16.1,1.05,6.2,6.0,9.739515803501055,2
Australia,2023,Oceania,13078.34,4.18,81.9,62.1,8.6,80.2,7.4,25.3,14.9,0.98,15.9,5.7,9.478712705642282,1
Indonesia,2018,Southeast Asia,11999.14,2.41,89.5,83.7,56.3,75.7,9.8,100.0,29.5,1.02,4.1,4.0,9.392590259535293,1
Canada,2019,North America,-2121.4,4.47,100.0,68.0,30.7,84.2,9.5,41.8,19.2,1.03,8.4,6.7,,0
South Korea,2016,East Asia,8601.03,4.4,96.6,85.4,42.9,74.5,9.6,68.1,22.4,1.06,8.6,2.9,9.059637242511911,1
Saudi Arabia,2020,Middle East,6902.9,6.27,90.1,77.9,25.7,94.9,11.7,41.6,23.5,1.09,8.8,5.5,8.839696892143381,0
Mexico,2022,North America,1225.73,6.25,91.9,72.7,42.0,74.9,7.3,42.9,15.4,0.89,7.0,6.4,7.111291863857333,1
Russia,2017,Europe,9431.74,4.59,81.3,77.9,36.0,95.9,10.2,70.8,16.5,0.82,7.0,2.9,9.151835876103592,0
South Korea,2020,East Asia,15458.58,5.23,94.5,65.2,61.0,82.1,11.5,90.9,26.5,1.07,12.2,6.7,9.645919467987632,1
Russia,2023,Europe,23059.93,4.82,90.7,76.8,13.5,86.0,8.8,77.7,26.8,0.89,8.2,6.8,10.045851758259033,2
China,2020,East Asia,25609.26,5.85,100.0,78.9,16.8,77.8,10.4,34.8,17.5,0.96,6.7,6.8,10.150709283813198,1
South Korea,2021,East Asia,17540.15,5.42,90.4,71.1,41.9,73.6,11.0,62.2,13.5,1.08,7.7,9.6,9.77224781777102,1
Brazil,2024,South America,24147.25,2.07,93.7,76.5,39.1,75.7,9.7,54.4,15.8,0.95,5.6,9.7,10.09192578096124,1
France,2020,Europe,24368.88,4.94,86.6,89.1,5.0,72.1,6.5,41.2,28.4,1.08,7.8,6.0,10.101062187417883,1
Mexico,2020,North America,7502.3,5.73,100.0,84.0,44.3,95.1,9.6,20.2,25.7,0.9,7.1,9.6,8.922964919178458,0
Kenya,2017,Africa,3811.11,6.96,95.8,66.6,33.8,79.7,11.7,56.4,23.6,1.04,1.5,4.5,8.24567576427258,2
Indonesia,2023,Southeast Asia,15376.15,3.97,95.8,80.6,51.2,88.3,9.7,72.0,16.9,1.02,8.3,6.2,9.640572886625549,2
Australia,2020,Oceania,14862.66,5.53,90.1,66.6,31.9,95.7,6.7,80.3,27.1,1.02,3.9,2.7,9.606607306290124,2
Australia,2016,Oceania,31877.42,2.69,92.5,56.7,5.0,91.8,8.3,77.0,18.3,1.12,6.0,7.9,10.369653201147457,2
Saudi Arabia,2019,Middle East,7047.5,3.32,90.2,68.7,10.3,74.8,7.5,98.7,19.3,0.96,9.2,5.1,8.860428222988268,1
China,2020,East Asia,17400.79,5.49,98.0,74.7,36.6,88.6,10.6,66.8,20.8,0.91,8.7,3.6,9.764270886470818,2
South Korea,2022,East Asia,15207.55,4.72,87.7,67.7,54.2,76.8,10.7,36.1,13.0,1.07,10.3,6.0,9.629547294040844,1
Mexico,2023,North America,18123.29,6.51,94.0,75.7,31.6,77.5,6.5,42.6,25.8,1.16,3.8,7.5,9.804953130444536,2
Brazil,2015,South America,13077.68,6.78,94.8,68.4,38.0,70.2,9.8,53.9,18.5,0.94,4.6,6.6,9.478662239248685,1
Japan,2023,East Asia,15621.96,4.18,96.8,74.1,31.4,78.1,11.7,100.0,10.0,0.98,6.5,6.3,9.65643289567535,1
China,2024,East Asia,37232.48,4.58,93.3,81.1,47.5,78.9,9.3,59.1,28.1,1.01,8.4,4.8,10.524936777594768,1
Japan,2023,East Asia,18686.55,4.28,93.7,69.2,38.2,83.5,7.6,41.8,21.0,1.01,8.9,6.3,9.835559292720442,1
Brazil,2024,South America,6245.03,5.36,90.7,85.3,49.4,79.0,7.8,36.0,13.5,1.16,4.6,5.2,8.739541226391214,0
China,2018,East Asia,34834.26,6.23,100.0,81.7,50.6,61.5,9.2,46.3,12.1,0.85,6.5,3.2,10.458356664235856,1
France,2016,Europe,13209.49,3.82,100.0,81.5,48.0,74.2,12.1,71.9,19.5,0.86,8.2,5.4,9.488690789655276,1
Australia,2016,Oceania,9578.17,4.86,93.1,73.9,16.6,69.4,12.4,35.9,14.2,0.94,9.5,4.7,9.167241829753186,1
Turkey,2023,Europe,13713.16,3.13,100.0,54.0,38.4,100.0,8.9,41.5,10.0,1.04,9.8,8.3,9.526111234692305,0
Canada,2023,North America,26802.89,5.65,86.9,87.1,22.3,80.9,10.9,66.8,15.7,1.04,1.0,7.8,10.19626499650598,2
India,2024,South Asia,11169.06,7.47,93.3,87.3,48.7,92.9,11.1,69.9,23.2,1.07,6.2,4.7,9.320902734538215,0
United States,2019,North America,11089.41,4.03,96.0,82.6,36.2,94.5,9.5,100.0,20.4,0.99,5.0,8.3,9.31374587784713,2
Russia,2017,Europe,23451.54,6.89,100.0,75.5,17.4,86.9,11.6,58.5,17.9,0.97,10.8,5.3,10.06269144335993,1
Egypt,2020,Africa,9508.54,5.86,97.9,68.6,30.9,69.1,8.7,25.4,25.2,0.87,3.8,5.4,9.159945621145853,1
Indonesia,2016,Southeast Asia,10720.39,7.42,100.0,72.6,58.4,89.4,9.4,41.7,17.0,1.2,8.4,5.5,9.27990281456005,0
Japan,2020,East Asia,15619.62,4.71,94.7,50.4,47.7,100.0,10.1,69.0,15.9,0.96,8.1,6.4,9.65628309531286,2
Russia,2021,Europe,13600.96,6.08,95.9,80.7,27.1,93.7,7.4,60.0,21.9,0.96,7.1,7.4,9.517895657468205,2
Turkey,2021,Europe,20593.25,4.47,93.0,79.2,66.6,90.8,12.9,64.4,21.6,0.8,6.5,8.0,9.932718631179247,2
Egypt,2024,Africa,6212.41,4.38,95.3,92.5,25.5,95.3,12.8,73.8,15.6,1.06,8.6,9.1,8.734304183378418,0
South Korea,2021,East Asia,13761.04,2.0,90.2,73.1,35.2,93.1,9.3,49.2,15.9,0.98,7.5,6.5,9.529596690026553,2
India,2018,South Asia,20459.67,4.93,87.5,61.7,29.1,81.5,12.4,42.6,22.7,1.16,9.1,7.9,9.926210910343285,1
Mexico,2017,North America,26744.45,5.16,99.1,75.9,63.4,88.8,8.1,43.5,17.6,0.85,11.4,9.0,10.194082254162383,1
South Africa,2015,Africa,11414.59,4.6,89.8,69.4,42.7,81.1,9.5,34.2,15.1,0.94,10.3,6.5,9.34264764066663,1
Turkey,2016,Europe,8999.59,3.97,100.0,82.2,20.0,86.5,9.8,75.3,14.3,0.95,10.1,7.5,9.104934299725116,0
Indonesia,2017,Southeast Asia,10294.92,5.2,92.7,78.8,46.7,77.8,8.8,62.0,17.5,0.94,8.1,8.2,9.239405848669191,1
Germany,2019,Europe,10353.74,3.38,90.8,74.1,55.2,81.0,12.1,50.3,13.4,1.17,6.6,7.9,9.245103086078373,1
Egypt,2021,Africa,10577.75,5.47,93.9,79.3,31.4,71.1,8.8,76.0,25.3,1.11,7.0,8.5,9.26650801738937,1
Kenya,2018,Africa,-3815.71,8.0,94.9,75.9,17.0,80.3,10.9,70.3,12.8,1.03,2.0,8.5,,0
Russia,2016,Europe,24948.46,2.95,96.1,60.9,28.3,87.5,9.7,66.2,20.9,1.04,5.1,5.6,10.1245673758278,2
South Africa,2015,Africa,4320.87,4.23,100.0,75.9,14.3,74.1,10.0,57.6,19.1,0.84,2.9,3.8,8.371212049851025,1
United States,2015,North America,7158.6,2.5,98.5,76.7,47.8,98.4,10.0,44.3,24.0,0.87,5.3,5.5,8.87606971010981,0
Kenya,2016,Africa,5505.12,6.28,90.6,61.5,58.0,95.1,15.0,29.3,20.8,0.85,11.9,2.3,8.613433847284321,0
South Africa,2017,Africa,-3643.6,4.94,95.7,74.6,41.8,95.5,10.4,51.9,15.8,1.03,8.3,7.2,,0
Germany,2016,Europe,12584.52,2.0,98.1,69.9,37.3,85.7,6.8,59.5,21.7,1.08,1.4,2.9,9.44022276619842,2
Nigeria,2022,Africa,-543.84,4.03,86.6,68.5,15.6,73.5,9.6,48.6,14.0,1.08,4.7,8.7,,0
India,2021,South Asia,315.92,5.46,94.8,71.9,31.5,84.5,9.8,85.5,19.2,1.12,6.1,6.2,5.755489016978394,0
South Korea,2021,East Asia,13121.56,2.0,91.0,90.7,22.0,92.9,5.2,51.9,22.1,0.99,8.1,1.0,9.48201195786877,0
United States,2024,North America,6759.55,3.55,89.9,73.7,7.7,81.6,13.4,52.6,11.8,1.1,5.2,2.9,8.818711598773922,0
Kenya,2020,Africa,2366.99,3.67,95.6,75.2,42.7,86.5,14.0,46.2,13.1,0.91,10.4,2.6,7.769374384747983,0
France,2020,Europe,22550.99,7.7,100.0,70.5,44.8,93.8,8.6,38.1,19.6,1.09,11.0,6.2,10.023534246406165,2
South Africa,2019,Africa,2279.11,4.32,100.0,76.9,45.7,96.5,9.0,47.1,20.9,0.92,5.5,1.9,7.7315402948645575,0
Australia,2024,Oceania,23167.28,3.17,100.0,65.4,14.5,67.7,5.0,91.1,23.9,1.02,11.2,4.2,10.050496217354466,1
Argentina,2022,South America,6942.74,4.73,92.2,87.4,81.2,96.0,10.1,61.1,28.3,1.01,8.7,4.0,8.845451788262947,0
Saudi Arabia,2024,Middle East,10951.4,5.25,100.0,73.1,42.2,74.8,10.3,82.0,20.2,0.99,5.6,5.1,9.301222580953315,1
Canada,2022,North America,25848.74,3.69,94.8,65.7,34.3,95.0,7.3,40.9,27.5,0.95,9.5,5.0,10.160017136001994,2
Canada,2022,North America,8919.5,7.87,94.0,81.7,33.2,83.1,12.0,52.5,15.2,0.97,7.2,5.1,9.095995170191323,0
Japan,2020,East Asia,9789.11,2.61,92.3,60.5,20.4,92.8,11.6,60.8,12.5,0.95,10.4,6.9,9.189025822301165,0
United States,2019,North America,5554.86,5.71,93.1,68.7,39.9,84.1,13.0,74.0,19.6,1.06,4.3,9.1,8.62242849923589,0
Indonesia,2021,Southeast Asia,18102.09,7.91,91.4,54.4,31.5,63.5,14.1,58.7,13.5,0.94,2.1,4.1,9.803782680201074,1
Russia,2016,Europe,28257.1,5.25,97.9,78.2,35.2,70.5,10.1,100.0,24.8,1.04,6.3,4.5,10.249100032430766,1
Australia,2024,Oceania,42195.06,5.68,95.2,72.8,21.8,100.0,10.0,71.8,13.9,1.05,6.9,6.8,10.650058431560483,2
Saudi Arabia,2020,Middle East,12571.0,4.34,97.5,65.6,20.2,67.4,9.8,68.5,15.1,0.87,6.8,7.3,9.43914785291483,1
Indonesia,2015,Southeast Asia,1558.01,3.8,100.0,67.2,26.2,92.1,9.2,68.4,24.2,1.15,10.4,9.7,7.3511646448953325,0
France,2015,Europe,30710.27,5.43,95.7,72.6,24.6,67.7,8.5,83.2,16.1,1.14,6.9,8.2,10.332352405320673,1
Indonesia,2016,Southeast Asia,23476.18,3.52,100.0,94.0,43.7,62.7,7.8,29.3,19.3,0.94,8.3,3.5,10.06374156905384,1
Indonesia,2019,Southeast Asia,-3888.67,5.96,100.0,51.9,26.9,80.9,8.3,85.6,20.8,0.82,9.2,6.3,,0
Russia,2016,Europe,15536.48,5.49,85.4,74.8,42.7,79.2,8.6,51.0,24.4,0.89,6.4,5.0,9.650946086037358,1
Germany,2018,Europe,26479.43,4.68,94.9,54.0,14.6,92.2,9.1,72.2,24.0,1.12,3.6,9.5,10.184123484139505,2
India,2022,South Asia,17728.31,5.16,85.9,81.2,22.4,86.2,13.2,67.8,21.1,1.04,4.8,2.9,9.782918075856218,2
France,2020,Europe,19925.25,4.68,100.0,65.9,15.8,92.1,8.2,29.0,17.1,0.9,2.4,6.9,9.899743050631145,2
Egypt,2024,Africa,8590.49,4.04,100.0,72.5,44.6,69.6,7.2,81.5,25.9,0.98,8.8,6.6,9.058411056424747,1
Indonesia,2015,Southeast Asia,19429.65,2.99,100.0,100.0,25.7,83.7,11.1,79.1,17.5,1.07,6.5,3.7,9.874555528827875,2
Japan,2019,East Asia,12514.51,4.95,97.1,66.8,30.9,93.4,10.7,59.8,19.6,1.12,10.5,5.1,9.434644050082994,0
Russia,2022,Europe,-8290.06,2.0,87.6,73.8,43.9,92.3,7.7,48.5,19.4,0.99,5.5,10.0,,0
South Africa,2024,Africa,6510.86,2.86,95.0,70.7,30.8,76.1,7.8,21.3,18.8,1.0,5.3,7.8,8.781226830932274,1
Australia,2016,Oceania,14652.57,4.56,96.2,74.7,35.8,71.1,11.7,32.9,24.6,1.03,5.4,6.8,9.592371025680924,1
United States,2017,North America,12678.79,5.98,91.4,74.8,23.8,75.3,9.3,87.9,22.4,0.99,6.7,2.8,9.44768579757037,1
Argentina,2015,South America,8180.34,3.34,95.8,84.8,32.6,87.1,9.6,62.9,20.1,1.04,4.9,7.8,9.009488993525176,0
Turkey,2022,Europe,6468.19,2.14,96.0,74.3,30.1,81.1,10.8,43.2,15.0,1.05,9.4,4.4,8.774651595652067,0
Germany,2023,Europe,25138.74,4.1,93.2,76.8,36.2,93.1,14.2,39.6,18.2,0.97,12.8,2.7,10.132165361556481,1
Brazil,2022,South America,13625.9,5.29,100.0,71.7,54.0,76.7,8.6,24.5,24.1,0.91,6.4,8.9,9.519727672395778,1
Nigeria,2024,Africa,-3753.33,6.25,100.0,73.9,34.1,78.9,9.3,47.1,28.1,1.01,10.0,4.6,,0
France,2023,Europe,25866.09,5.81,97.3,81.1,35.8,92.4,11.0,71.9,23.1,1.02,2.4,5.7,10.160688123440258,2
Canada,2019,North America,8615.64,2.51,97.0,91.5,5.0,75.8,9.5,69.8,18.4,1.05,10.7,6.5,9.061334435233498,1
Argentina,2016,South America,18218.8,2.15,83.8,69.1,35.9,87.4,9.9,48.5,21.7,0.99,7.3,6.3,9.810209306954523,2
Turkey,2022,Europe,10419.94,3.9,100.0,82.7,31.3,86.1,8.8,63.4,20.9,0.94,8.1,6.4,9.25147655713339,0
Brazil,2022,South America,10609.06,5.73,91.8,65.3,47.1,75.5,10.6,95.9,25.4,0.95,5.1,7.9,9.269463632018734,1
Kenya,2017,Africa,5821.84,2.06,98.3,72.8,36.8,86.8,10.2,100.0,27.8,0.85,8.5,2.9,8.669371641962972,0
Canada,2019,North America,25647.1,6.21,91.4,73.7,48.1,83.2,8.4,60.9,27.0,0.85,4.5,4.8,10.152185783778254,2
Saudi Arabia,2020,Middle East,29913.78,6.53,90.6,74.1,48.1,93.2,9.8,60.8,29.9,0.99,2.2,6.3,10.306074522776235,2
Australia,2016,Oceania,17408.87,4.34,88.8,78.8,20.4,85.0,8.6,80.0,12.2,0.88,7.2,6.0,9.764735125428919,2
China,2016,East Asia,13135.15,5.02,95.9,83.9,37.3,100.0,7.3,92.3,20.1,0.82,1.0,4.9,9.48304712192501,2
South Africa,2022,Africa,9475.65,5.87,90.5,68.7,53.0,69.1,7.9,73.2,16.2,1.03,6.1,4.8,9.15648062918076,1
Indonesia,2018,Southeast Asia,7245.16,3.68,100.0,68.7,38.1,89.3,14.9,91.0,11.6,1.06,9.4,8.5,8.888088938706927,0
United States,2021,North America,3068.2,4.41,93.2,79.2,28.9,81.5,6.7,75.0,19.2,0.97,6.1,5.2,8.028846349410673,0
Brazil,2021,South America,22233.06,5.26,84.9,60.0,7.2,60.6,11.8,73.9,27.7,0.97,9.8,7.0,10.009335649306962,1
Canada,2019,North America,-696.36,6.18,92.6,79.3,27.7,69.7,10.1,92.2,13.9,1.02,10.8,0.9,,1
Brazil,2018,South America,6958.82,4.49,92.7,68.6,16.4,85.8,7.7,34.6,14.0,1.12,4.5,6.9,8.84776519872501,0
Japan,2024,East Asia,10272.38,2.01,91.1,69.2,35.7,86.3,7.0,87.1,27.1,1.0,7.9,4.3,9.23721401901496,0
Indonesia,2018,Southeast Asia,2615.75,4.41,93.0,91.0,71.3,76.6,9.7,76.9,22.3,1.04,10.9,8.8,7.8693061422611565,1
Mexico,2016,North America,17778.59,7.86,99.3,67.9,49.8,77.8,9.8,76.6,16.9,1.08,7.7,3.7,9.785750203336102,1
India,2017,South Asia,725.77,2.0,93.4,68.9,60.2,83.1,8.2,63.8,20.4,0.94,7.1,5.5,6.587233160223965,0
China,2017,East Asia,11149.36,3.76,97.7,68.8,12.8,83.7,9.3,45.9,32.2,1.08,6.3,4.5,9.319137376137734,0
Saudi Arabia,2024,Middle East,4592.77,2.72,93.5,83.3,47.9,88.1,10.9,65.1,22.9,0.99,4.8,5.9,8.43223860686902,0
United States,2022,North America,10178.91,4.97,89.7,75.1,59.1,100.0,11.4,84.8,15.6,0.94,8.2,10.0,9.228073211680272,0
Indonesia,2020,Southeast Asia,27046.86,3.03,96.0,83.9,56.3,82.6,9.3,65.6,14.3,0.99,8.9,5.3,10.2053261962058,1
Australia,2015,Oceania,29239.17,5.27,88.1,69.4,6.1,83.2,7.6,60.9,18.9,1.04,11.3,8.6,10.283264527687917,1
Turkey,2020,Europe,28089.06,4.34,93.5,67.4,25.7,89.2,6.9,52.6,13.7,1.0,3.9,3.2,10.243135455672217,2
Russia,2016,Europe,14004.49,2.18,96.3,69.9,36.5,66.3,12.2,36.8,28.9,0.96,10.9,7.9,9.547133271465277,1
Australia,2022,Oceania,11393.33,5.54,93.4,72.7,46.1,69.4,8.3,69.2,24.5,1.02,5.0,7.0,9.340783375432675,1
Canada,2019,North America,12350.14,7.8,95.9,58.5,27.7,76.0,6.7,36.2,19.1,0.92,7.8,6.5,9.421422678024259,1
Australia,2023,Oceania,13233.82,4.45,100.0,90.1,37.7,86.9,10.5,67.9,22.1,0.84,7.2,7.5,9.490530953149598,2
Australia,2016,Oceania,13308.24,3.21,94.4,75.7,14.1,79.5,10.9,68.0,21.4,1.15,7.5,6.3,9.496138671240855,1
Germany,2016,Europe,24365.24,4.48,97.4,56.9,42.7,81.5,9.3,89.6,21.9,1.04,5.6,5.6,10.100912805424045,2
Nigeria,2020,Africa,14882.72,5.16,100.0,66.3,12.3,82.7,11.4,64.9,13.7,0.95,8.8,8.0,9.60795608738091,1
Indonesia,2021,Southeast Asia,9373.25,6.46,98.5,68.1,62.9,79.6,8.8,77.1,18.7,1.15,10.4,6.8,9.145615166747554,1
Turkey,2018,Europe,21717.49,3.75,93.2,61.4,40.6,100.0,8.3,22.4,23.6,1.03,8.6,5.3,9.985873205675814,2
China,2016,East Asia,1076.44,3.09,85.4,84.2,43.5,82.0,7.3,54.0,11.4,0.94,13.7,6.4,6.981414579069027,0
United States,2017,North America,34048.14,2.0,94.1,64.1,26.2,84.9,8.6,37.9,17.3,0.9,7.9,7.8,10.435530684534967,2
Germany,2024,Europe,24527.29,4.76,94.8,59.8,33.8,87.3,8.8,36.6,23.8,0.92,9.7,7.6,10.107541654182526,2
Brazil,2018,South America,-1982.91,5.76,94.0,58.4,25.9,94.8,9.5,47.1,20.5,0.99,3.4,3.5,,0
Mexico,2023,North America,16668.55,5.45,93.0,77.4,23.3,100.0,9.5,23.3,14.9,0.97,10.1,7.3,9.721278989358154,0
South Korea,2023,East Asia,9716.11,2.13,93.8,68.2,31.9,84.3,10.0,57.0,10.0,1.03,8.3,4.8,9.181540611589469,0
Nigeria,2022,Africa,-7182.98,5.3,93.6,66.8,36.6,95.5,8.5,54.8,18.4,0.88,6.7,9.2,,0
Germany,2017,Europe,771.05,4.15,99.0,63.3,37.8,93.8,6.5,90.9,19.4,0.96,2.4,4.7,6.647753222303665,0
Argentina,2021,South America,1013.27,2.0,95.8,76.1,9.8,86.9,6.9,62.9,22.5,0.8,6.9,7.3,6.920938003778951,0
India,2023,South Asia,5721.29,3.97,99.0,71.2,50.4,99.2,12.2,49.2,14.6,1.06,6.5,5.8,8.651949583422546,0
Canada,2018,North America,30375.69,4.25,91.4,42.5,18.5,81.9,11.3,87.7,20.5,0.96,5.4,6.7,10.321397896434227,2
South Africa,2017,Africa,-2293.65,5.79,100.0,87.2,13.1,88.5,9.1,24.8,19.7,0.96,5.6,9.2,,0
Kenya,2017,Africa,-8233.86,4.39,95.9,48.5,35.8,87.2,11.2,10.0,19.7,0.95,8.0,6.7,,0
France,2015,Europe,17051.54,4.69,94.6,76.2,7.2,100.0,10.8,93.3,20.0,1.05,2.2,9.3,9.743995801213469,2
South Korea,2015,East Asia,25767.5,3.08,92.0,73.2,41.0,82.8,10.9,64.9,21.4,1.0,11.1,7.7,10.156869286910947,1
Turkey,2015,Europe,12053.9,5.88,90.7,69.6,48.2,90.7,10.0,69.4,28.2,0.99,7.0,8.7,9.39714353800725,0
India,2023,South Asia,6569.92,3.81,98.4,68.7,35.8,73.2,10.0,28.2,13.4,1.03,9.6,6.1,8.7902569348444,1
Nigeria,2024,Africa,15065.99,5.11,92.2,88.3,43.3,89.8,12.3,52.6,23.3,0.95,7.0,3.9,9.620195164639236,2
Turkey,2015,Europe,17258.28,5.64,94.6,78.5,5.0,89.5,6.9,80.6,24.6,0.91,5.4,8.8,9.756047307296356,2
Kenya,2017,Africa,14726.97,5.17,92.4,56.7,46.1,79.1,10.8,76.5,18.9,1.02,10.9,5.5,9.597435785649326,1
Japan,2018,East Asia,10441.78,5.11,93.9,76.2,50.5,73.4,10.7,47.6,18.4,1.0,6.6,2.6,9.253570344987775,1
Indonesia,2018,Southeast Asia,26054.5,6.2,94.3,84.3,29.0,75.2,9.6,36.6,23.0,0.93,2.2,0.0,10.167945776984551,2
South Africa,2022,Africa,2983.55,4.98,100.0,57.6,50.1,80.1,9.4,60.1,19.9,0.8,9.1,7.7,8.000869145661998,0
Indonesia,2022,Southeast Asia,22653.42,5.23,94.0,60.3,41.7,85.4,9.5,68.8,19.8,0.96,3.5,6.0,10.028066112890311,2
South Africa,2016,Africa,15786.95,2.85,100.0,82.1,9.3,91.1,9.5,58.3,30.0,1.09,4.2,7.3,9.666938928363855,2
Brazil,2021,South America,7665.24,3.19,95.8,86.7,12.7,80.0,11.9,41.2,20.2,0.97,10.8,6.6,8.94445110197033,1
Russia,2023,Europe,12610.26,3.25,100.0,74.2,31.6,90.0,10.9,32.0,19.0,0.89,5.3,8.5,9.442266047303107,2
Germany,2017,Europe,24227.38,5.38,88.0,76.9,26.4,94.9,8.4,43.4,21.8,1.12,10.2,8.6,10.095238677547218,2
China,2023,East Asia,25467.67,6.95,95.9,70.6,22.6,96.9,9.2,41.8,22.6,0.86,3.8,6.4,10.145165083616185,2
China,2016,East Asia,22056.22,4.0,93.8,82.9,47.4,64.3,12.5,53.5,16.3,0.95,2.9,10.0,10.00134992726397,1
Indonesia,2023,Southeast Asia,4558.45,2.25,93.7,61.2,36.8,100.0,9.8,66.8,18.5,0.9,6.1,8.1,8.424737932444456,0
Germany,2024,Europe,25860.14,4.56,99.4,67.3,25.8,69.0,11.7,48.5,13.4,1.05,11.0,5.3,10.160458066077629,1
Brazil,2018,South America,831.34,4.01,96.2,81.0,46.7,85.8,9.0,73.7,13.4,0.9,4.8,5.1,6.723038856785909,0
Australia,2020,Oceania,3936.75,5.96,88.9,48.1,49.8,90.2,9.4,69.4,20.5,1.12,4.7,9.5,8.278110788800518,0
Egypt,2019,Africa,11581.1,3.59,91.2,76.5,18.1,82.9,12.2,63.6,30.5,0.92,8.4,4.9,9.357129737980014,1
Australia,2015,Oceania,13343.61,5.25,91.3,66.4,28.0,79.6,7.5,88.9,18.5,1.08,9.3,8.0,9.498792897552716,1
